post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47624645,Show HN: Apfel – The free AI already on your Mac,technology,181,25,franze,2026-04-03 18:05:40,0.13736263736263737,True
47561426,What Category Theory Teaches Us About DataFrames,technology,48,4,mchav,2026-04-03 18:05:40,0.08163265306122448,False
47562455,The True Shape of Io's Steeple Mountain,technology,70,1,carlosjobim,2026-04-03 18:05:40,0.014084507042253521,False
47618189,Tailscale's new macOS home,technology,487,239,tosh,2026-04-03 18:05:40,0.48975409836065575,True
47573728,Intel Assured Supply Chain Product Brief,technology,10,1,aw-engineer,2026-04-03 18:05:40,0.09090909090909091,False
47617415,Good ideas do not need lots of lies in order to gain public acceptance (2008),technology,281,129,sedev,2026-04-03 18:05:40,0.4574468085106383,True
47624317,New Rowhammer attacks give complete control of machines running Nvidia GPUs,technology,67,5,01-_-,2026-04-03 18:05:40,0.07352941176470588,False
47617376,OpenAI Acquires TBPN,technology,219,180,surprisetalk,2026-04-03 18:05:40,0.8181818181818182,True
47615490,Artemis computer running two instances of MS outlook; they can't figure out why,technology,443,334,mooreds,2026-04-03 18:05:40,0.7522522522522522,True
47620933,Memo: A language that remembers only the last 12 lines of code,technology,54,28,notem,2026-04-03 18:05:40,0.509090909090909,False
47612724,Lemonade by AMD: a fast and open source local LLM server using GPU and NPU,technology,525,110,AbuAssar,2026-04-03 18:05:40,0.20912547528517111,True
47623101,A Rave Review of Superpowers (For Claude Code),technology,30,18,emschwartz,2026-04-03 18:05:40,0.5806451612903226,False
47596739,Mercor says it was hit by cyberattack tied to compromise LiteLLM,technology,144,45,jackson-mcd,2026-04-03 18:05:40,0.3103448275862069,False
47611921,Significant raise of reports,technology,296,151,stratos123,2026-04-03 18:05:40,0.5084175084175084,True
47621792,Post Mortem: axios NPM supply chain compromise,technology,100,61,Kyro38,2026-04-03 18:05:40,0.6039603960396039,False
47615876,The case for zero-error horizons in trustworthy LLMs,technology,74,102,daigoba66,2026-04-03 18:05:40,1.36,False
47612558,Enabling Codex to Analyze Two Decades of Hacker News Data,technology,81,30,ronfriedhaber,2026-04-03 18:05:40,0.36585365853658536,False
47620039,"Reporting potholes with an ESP32, LoRA, and AI",technology,20,0,flakespancakes,2026-04-03 18:05:40,0.0,False
47609694,Email obfuscation: What works in 2026?,technology,353,99,jaden,2026-04-03 18:05:40,0.2796610169491525,True
47617217,Show HN: I tested 15 free AI models at building real software on a $25/year VPS,technology,27,4,j0rg3,2026-04-03 18:05:40,0.14285714285714285,False
47557385,The revenge of the data scientist,technology,170,37,hamelsmu,2026-04-03 18:05:40,0.21637426900584794,True
47623053,"Show HN: Minimal Brain Teaser Web Game (Handcrafted, No AI)",technology,9,5,arttaboi,2026-04-03 18:05:40,0.5,False
47610245,Things I Think I Think... Preferring Local OSS LLMs,technology,43,9,zdw,2026-04-03 18:05:40,0.20454545454545456,False
47615002,Qwen3.6-Plus: Towards real world agents,worldnews,549,188,pretext,2026-04-03 18:05:40,0.3418181818181818,True
